epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
114,5773.47,1.35007,0.9542,1.14545,0.80827,0.77527,0.84131,0.50056,1.36705,0.84465,1.17907,0.000734564,0.000734564,0.000734564
115,5816.08,1.30513,0.94728,1.12871,0.79621,0.77221,0.82668,0.48053,1.4009,0.86323,1.19522,0.000726312,0.000726312,0.000726312
116,5858.54,1.32685,0.95711,1.14247,0.85285,0.75297,0.84771,0.49899,1.36175,0.84395,1.17819,0.00071806,0.00071806,0.00071806
117,5900.94,1.31821,0.94184,1.13832,0.82188,0.76412,0.8353,0.49745,1.37137,0.84153,1.18523,0.000709809,0.000709809,0.000709809
118,5943.78,1.32423,0.9326,1.13718,0.81766,0.78257,0.84528,0.5009,1.38034,0.83873,1.18578,0.000701557,0.000701557,0.000701557
119,5986.3,1.31955,0.93414,1.13945,0.82559,0.78109,0.85187,0.51798,1.34489,0.80974,1.17453,0.000693305,0.000693305,0.000693305
120,6028.94,1.32382,0.93663,1.14276,0.83313,0.77668,0.84452,0.50672,1.34829,0.82896,1.17371,0.000685054,0.000685054,0.000685054
121,6071.5,1.30528,0.92188,1.13168,0.82029,0.76294,0.83761,0.48297,1.40012,0.85595,1.19529,0.000676802,0.000676802,0.000676802
122,6114.36,1.31107,0.93941,1.13095,0.82886,0.76937,0.83828,0.50002,1.372,0.83628,1.17959,0.00066855,0.00066855,0.00066855
123,6156.85,1.31226,0.92612,1.13786,0.84283,0.76864,0.83984,0.50227,1.35575,0.83051,1.17163,0.000660299,0.000660299,0.000660299
124,6199.61,1.30119,0.9462,1.14263,0.84152,0.75626,0.84813,0.51396,1.33663,0.82292,1.16545,0.000652047,0.000652047,0.000652047
125,6244.22,1.31022,0.92517,1.13073,0.8387,0.76504,0.84029,0.51338,1.33511,0.8267,1.16377,0.000643795,0.000643795,0.000643795
126,6287.16,1.29779,0.93376,1.13111,0.82895,0.75471,0.8354,0.5099,1.33634,0.82816,1.1645,0.000635544,0.000635544,0.000635544
127,6329.82,1.30345,0.92424,1.1312,0.81971,0.77377,0.84042,0.50716,1.34371,0.81126,1.16444,0.000627292,0.000627292,0.000627292
128,6372.82,1.30714,0.93151,1.13266,0.85405,0.75962,0.83404,0.50379,1.3622,0.82244,1.17398,0.00061904,0.00061904,0.00061904
129,6415.72,1.31264,0.9309,1.12636,0.8151,0.79348,0.84617,0.50865,1.35311,0.82615,1.17278,0.000610789,0.000610789,0.000610789
130,6459.52,1.30675,0.9162,1.13241,0.83434,0.76638,0.84709,0.511,1.33188,0.8195,1.1642,0.000602537,0.000602537,0.000602537
131,6502.27,1.3034,0.98887,1.12748,0.81598,0.77427,0.84609,0.50346,1.35727,0.82542,1.16484,0.000594286,0.000594286,0.000594286
132,6545.56,1.30709,0.91498,1.13378,0.85527,0.76817,0.85902,0.51895,1.32614,0.80033,1.15797,0.000586034,0.000586034,0.000586034
133,6600.14,1.29245,0.901,1.11881,0.81565,0.78027,0.85855,0.52111,1.31834,0.80268,1.15522,0.000577782,0.000577782,0.000577782
134,6653.72,1.31466,0.92264,1.13323,0.82734,0.80554,0.86435,0.51974,1.33586,0.77803,1.15712,0.000569531,0.000569531,0.000569531
135,6706.98,1.29228,0.90221,1.12401,0.84226,0.78141,0.86092,0.51919,1.34157,0.79224,1.16386,0.000561279,0.000561279,0.000561279
136,6759.81,1.28955,0.91364,1.12245,0.82529,0.78389,0.84996,0.51609,1.33562,0.81025,1.16389,0.000553027,0.000553027,0.000553027
137,6811.7,1.26033,0.88419,1.11859,0.8364,0.79178,0.85642,0.5187,1.33348,0.79542,1.16059,0.000544776,0.000544776,0.000544776
138,6863.94,1.27611,0.90463,1.12328,0.83827,0.80103,0.86504,0.52868,1.32414,0.77452,1.16107,0.000536524,0.000536524,0.000536524
139,6916.75,1.295,0.9025,1.13537,0.83246,0.78868,0.85815,0.51844,1.35526,0.79649,1.16944,0.000528272,0.000528272,0.000528272
140,6968.88,1.27421,0.89314,1.12057,0.84729,0.78164,0.86334,0.52501,1.32328,0.78065,1.162,0.000520021,0.000520021,0.000520021
141,7021,1.26473,0.89544,1.11569,0.83973,0.79078,0.85599,0.51421,1.3328,0.79663,1.15185,0.000511769,0.000511769,0.000511769
142,7073.78,1.2763,0.88206,1.12229,0.8225,0.79552,0.85922,0.52158,1.32948,0.78155,1.15808,0.000503517,0.000503517,0.000503517
143,7126.13,1.26739,0.87647,1.11535,0.84141,0.79533,0.85767,0.52301,1.31948,0.77345,1.15197,0.000495266,0.000495266,0.000495266
144,7178.35,1.26627,0.87284,1.10859,0.83685,0.77788,0.85773,0.51945,1.33431,0.78137,1.15983,0.000487014,0.000487014,0.000487014
145,7230.85,1.27716,0.8877,1.12275,0.86207,0.7789,0.85831,0.51831,1.33228,0.77492,1.15707,0.000478762,0.000478762,0.000478762
146,7284.02,1.26091,0.88089,1.1129,0.85085,0.77518,0.85435,0.51798,1.33178,0.78438,1.16234,0.000470511,0.000470511,0.000470511
147,7337.61,1.2739,0.89999,1.12206,0.84247,0.80448,0.86327,0.52817,1.32097,0.77512,1.15993,0.000462259,0.000462259,0.000462259
148,7390.42,1.26665,0.8959,1.12852,0.84834,0.80584,0.86147,0.52733,1.30364,0.7706,1.15359,0.000454007,0.000454007,0.000454007
149,7442.55,1.26147,0.88202,1.11843,0.84789,0.79635,0.86181,0.53004,1.30188,0.76364,1.15399,0.000445756,0.000445756,0.000445756
